nest,FirstFound,LastPresent,LastChecked,Fate,Freq,year,island,cam,n,terr,Survive,Fledge,Hatch,LastChecked,first,lay_date,h_date,fledge_Date,last_date,days_active,chick,pred,type,ground,veg_cover,place,per_cover,str_veg_cm,str_rock_cm,max_str,dens,nn,cam_n,area(m2),cause,abandon,pred_type,pred_rat,Time,time_am,time_pm,nest_lagu,nest_tern,notes
S4-4,9,27,27,0,1,2018,Shark,S4,440,USVI,0,0,1,28,25-May,16-May,9-Jun,NA,12-Jun,18,0,1,cov,litter,vine,center,0.25,12.7,30.48,6.475,1.25,0.25,5,4,P,0,GREG,NA,AM,1,0,2,0,"Can't see chick but feeding behaior 6/9. Egg vis 7:57 6/12, adults all flush and then broken egg vis. Then hermit crab shows up--guessing attracted to mess. Seems like GREG predation. "
SO-3,9,37,37,0,1,2018,Shark,SO,440,USVI,0,0,1,38,25-May,15-May,8-Jun,NA,11-Jun,17,0,1,bare,litter,litter,periph,0,0,5.08,0,2.22,1,5,2.25,P,0,GREG,NA,AM,1,0,2,0,chick removed between 5:55-6:25 
SY-1,9,18,18,0,1,2018,Shark,SY,440,USVI,0,0,0,19,25-May,NA,NA,NA,3-Jun,9,NA,1,bare,rock,grass,center,0.25,2.54,30.48,1.395,3,0.25,3,1,P,0,GREG,NA,AM,1,0,2,0,"GREG destroyed all 3 nests, ate eggs messily ~9am"
SY-2,9,18,18,0,1,2018,Shark,SY,440,USVI,0,0,0,19,25-May,NA,NA,NA,3-Jun,9,NA,1,cov,rock,none,center,0,0,15.24,0,3,0.25,3,1,P,0,GREG,NA,AM,1,0,2,0,
SY-3,9,18,18,0,1,2018,Shark,SY,440,USVI,0,0,0,19,25-May,NA,NA,NA,3-Jun,9,NA,1,bare,rock,none,center,0,0,5.08,0,3,0.25,3,1,P,0,GREG,NA,AM,1,0,2,0,
LS-1,5,31,31,0,1,2018,LeDuck,LS,296,USVI,0,0,0,32,21-May,NA,NA,NA,27-Jun,37,NA,1,cov,litter,grass,center,0.75,15.24,30.48,7.995,0.08,3,2,25,P,0,HC,NA,PM,0,1,1,1,egg #1 removed from nest 6/27; hermit crabs take eggs 2 & 3 night of 6/28
S1-2-1,20,22,22,0,1,2017,Shark,S1,21,USVI,0,0,0,23,5-Jun,NA,NA,NA,7-Jun,2,NA,1,cov,rock,vine,periph,0.5,7.62,2.54,4.06,1,0.5,4,4,P,0,HC,NA,PM,0,1,2,0,"abandoned 6:08 pm 7/13, no apparent reason "
S4-1,9,27,27,0,1,2018,Shark,S4,440,USVI,0,0,0,28,25-May,NA,NA,NA,8-Jun,14,NA,1,cov,litter,vine,center,0.25,12.7,5.08,6.475,1.25,0.25,5,4,P,0,HC,NA,PM,0,1,2,0,Nest abandoned ~2pm 6/8 cause unk 
S4-3,9,25,25,0,1,2018,Shark,S4,440,USVI,0,0,0,26,25-May,NA,NA,NA,10-Jun,16,NA,1,cov,litter,vine,center,1,10.16,5.08,5.58,1.25,0.25,5,4,P,0,HC,NA,PM,0,1,2,0,
S2-1,20,30,30,0,1,2017,Shark,S2,21,USVI,0,0,0,31,5-Jun,NA,NA,NA,15-Jun,10,NA,1,cov,veg,grass,center,0.5,15.24,30.48,7.87,1,0,1,1,P,0,LAGU,NA,AM,1,0,2,0,"LAGU takes egg ~2:45pm 6/15, single adult remains at nest, tries to defend. Adult leaves site ~4:45pm"
S3-3,20,23,23,0,1,2017,Shark,S3,21,USVI,0,0,0,24,5-Jun,NA,NA,NA,8-Jun,3,NA,1,bare,soil,none,center,0,0,7.62,0,1.78,0.5,4,2.25,P,0,LAGU,NA,AM,1,0,2,0,"predation 6/8 at 4:48, LAGU on cam & seen attacking nest 1 earlier "
S3-4,20,29,29,0,1,2017,Shark,S3,21,USVI,0,0,1,30,5-Jun,18-May,11-Jun,NA,14-Jun,9,0,1,bare,soil,vine,center,0.5,0,15.24,0.25,1.78,1,4,2.25,P,0,LAGU,NA,AM,1,0,2,0,LAGU attacks 6/14
C2-1,18,31,31,1,1,2018,Cockroach,C2,227,BVI,1,1,1,31,3-Jun,18-May,11-Jun,14-Jun,24-Jun,21,1,0,bare,litter,none,periph,0,7.62,0,3.81,0.75,0.5,3,4,NA,0,NA,0,NA,NA,NA,2,0,"rat at nest, takes chick B--predation?! Rat in colony every night, ROST leave site by 6/24 (chick last seen)"
C2-2,18,28,28,1,1,2018,Cockroach,C2,227,BVI,1,1,1,28,3-Jun,17-May,10-Jun,13-Jun,18-Jun,15,1,0,bare,litter,none,periph,0,15.24,15.24,7.62,0.75,0.5,3,4,NA,0,NA,0,NA,NA,NA,2,0,
C3-1,18,24,24,1,1,2018,Cockroach,C3,227,BVI,1,1,1,24,3-Jun,13-May,6-Jun,9-Jun,4-Jul,31,1,0,bare,litter,none,periph,0,5.08,0,2.54,1.25,0.25,5,4,NA,0,NA,0,NA,NA,NA,2,0,hatched 2nd chick 6/8
C3-2,18,25,25,1,1,2018,Cockroach,C3,227,BVI,1,1,1,25,3-Jun,14-May,7-Jun,10-Jun,11-Jun,8,1,0,bare,litter,none,periph,0,2.54,15.24,1.27,1.25,0.25,5,4,NA,0,NA,0,NA,NA,NA,2,0,"cam is bumped off nest 2, 3 on 6/10 but physically checked on 6/11 so reached fledge threshhold "
C3-3,18,25,25,1,1,2018,Cockroach,C3,227,BVI,1,1,1,25,3-Jun,14-May,7-Jun,10-Jun,11-Jun,8,1,0,bare,litter,none,periph,0,2.54,7.62,1.27,1.25,0.25,5,4,NA,0,NA,0,NA,NA,NA,2,0,
C3-4,18,25,25,1,1,2018,Cockroach,C3,227,BVI,1,1,1,25,3-Jun,14-May,7-Jun,10-Jun,11-Jun,8,1,0,bare,litter,none,periph,0,2.54,15.24,1.27,1.25,0.25,5,4,NA,0,NA,0,NA,NA,NA,2,0,"based on chick size 6/11, reached fledge age. Estimated hatch 6/7"
C4-2,18,34,34,0,1,2018,Cockroach,C4,227,BVI,0,0,1,35,3-Jun,15-May,8-Jun,NA,26-Jun,23,0,0,bare,litter,none,periph,0.25,2.54,0,1.395,0.22,1,2,9,NA,0,NA,0,NA,NA,NA,2,0,"still egg 6/11; eggshell & 1 egg 6/14 but no chick; 6/17 1 egg; rat 6/18 (adult doesn't leave!); adult flushes & egg disappears from frame, storm 6/19 1539pm. Chic poss drowned"
C5-4,18,34,34,1,1,2018,Cockroach,C5,227,BVI,1,1,1,34,3-Jun,23-May,16-Jun,19-Jun,23-Jun,20,1,0,bare,rock,grass,periph,0.75,5.08,10.16,2.915,0.75,0.5,12,16,NA,0,NA,0,NA,NA,NA,2,0,"egg disappears in night, prob rat "
C5-9,18,39,39,1,1,2018,Cockroach,C5,227,BVI,1,1,1,39,3-Jun,28-May,21-Jun,24-Jun,24-Jun,21,1,0,cov,veg,grass,center,1,5.08,10.16,3.04,0.75,1,12,16,NA,0,NA,0,NA,NA,NA,2,0,chick leaves frame 6/24
C6,27,31,31,1,1,2018,Cockroach,C6,227,BVI,1,1,1,31,12-Jun,20-May,13-Jun,16-Jun,22-Jun,10,1,0,bare,rock,none,periph,0,0,30.48,0,0.25,0,1,4,NA,0,NA,0,NA,NA,NA,2,0,rat in area starting 6/17
F2-3-1,15,40,40,1,1,2017,Flat,F2,31,USVI,1,1,1,40,31-May,30-May,22-Jun,25-Jun,4-Jul,34,1,0,cov,litter,bush ,periph,0,2.54,0,1.27,0.78,0.25,2,16,NA,0,NA,NA,NA,NA,NA,0,0,
F2-1-1,15,18,18,0,1,2017,Flat,F2-1,31,USVI,0,0,0,19,31-May,NA,NA,NA,3-Jun,3,NA,0,cov,litter,vine,periph,0.5,15.24,0,7.87,0.13,1,2,16,NV,0,NA,NA,NA,NA,NA,4,4,
F2-2-1,15,40,40,1,1,2017,Flat,F2-1,31,USVI,1,1,1,40,31-May,29-May,22-Jun,25-Jun,4-Jul,34,1,0,cov,veg,vine,periph,0.75,15.24,0,7.995,0.13,1,2,16,NA,0,NA,NA,NA,NA,NA,4,4,
F10-1,6,27,27,1,1,2018,Flat,F10,50,USVI,1,1,1,27,22-May,16-May,9-Jun,12-Jun,18-Jun,27,1,0,cov,veg,vine,periph,0.5,10.16,30.48,5.33,0.22,1,2,9,NA,0,NA,NA,NA,NA,NA,4,4,
F10-2,6,27,27,1,1,2018,Flat,F10,50,USVI,1,1,1,27,22-May,16-May,9-Jun,12-Jun,24-Jun,33,1,0,cov,veg,vine,center,0.5,15.24,0,7.87,0.22,1,2,9,NA,0,NA,NA,NA,NA,NA,4,4,"has 2 chicks. Chick 2 hatch 6/10. Both chicks last seen 6/20, A chick last seen 6/24"
F2-1,6,28,28,1,1,2018,Flat,F2,50,USVI,1,1,1,28,22-May,17-May,10-Jun,13-Jun,18-Jun,27,1,0,cov,veg,none,center,0,17.78,5.08,8.89,0.78,0.25,7,9,NA,0,NA,NA,NA,NA,NA,4,4,"Looks like was non-viable egg--parent was sitting on until 6/3, then left. May have died pipping "
F2-2,6,28,28,1,1,2018,Flat,F2,50,USVI,1,1,1,28,22-May,17-May,10-Jun,13-Jun,18-Jun,27,1,0,bare,rock,none,periph,0,17.78,0,8.89,0.78,0.25,7,9,NA,0,NA,NA,NA,NA,NA,4,4,
F2-4,6,28,28,1,1,2018,Flat,F2,50,USVI,1,1,1,28,22-May,17-May,10-Jun,13-Jun,18-Jun,27,1,0,bare,veg,none,periph,0,17.78,91.44,8.89,0.78,0.25,7,9,NA,0,NA,NA,NA,NA,NA,4,4,2 chicks fledged from same nest! May be only one from study 
F2-5,6,28,28,1,1,2018,Flat,F2,50,USVI,1,1,1,28,22-May,17-May,10-Jun,13-Jun,18-Jun,27,1,0,cov,veg,vine,center,0.75,10.16,0,5.455,0.78,0.25,7,9,NA,0,NA,NA,NA,NA,NA,4,4,"by 6/11; 6/13 chick disappears from frame when parents gone from 1:54-2:04, pred aerial based on behavior. Most likely neighbor parent (is w/in 10 sec & adult screaming at chick) LAGU usually land "
F2-6,6,29,29,1,1,2018,Flat,F2,50,USVI,1,1,1,29,22-May,18-May,11-Jun,14-Jun,18-Jun,27,1,0,cov,veg,vine,center,0.75,10.16,0,5.455,0.78,0.25,7,9,NA,0,NA,NA,NA,NA,NA,4,4,
F2-7,6,28,28,1,1,2018,Flat,F2,50,USVI,1,1,1,28,22-May,17-May,10-Jun,13-Jun,18-Jun,27,1,0,cov,veg,vine,center,0.75,15.24,5.08,7.995,0.78,0.25,7,9,NA,0,NA,NA,NA,NA,NA,4,4,
F3-1,6,28,28,1,1,2018,Flat,F3,50,USVI,1,1,1,28,22-May,17-May,10-Jun,13-Jun,26-Jun,35,1,0,bare,rock,none,center,0,0,91.44,0,0.38,1,6,16,NA,0,NA,NA,NA,NA,NA,4,4,egg abandoned 6/6 
F7-1,6,26,26,1,1,2018,Flat,F7,50,USVI,1,1,1,26,22-May,15-May,8-Jun,11-Jun,13-Jun,22,1,0,bare,litter,vine,center,0.25,2.54,30.48,1.395,4,1,4,1,NA,0,NA,NA,NA,NA,NA,4,4,
F7-2,8,32,32,0,1,2018,Flat,F7,50,USVI,0,0,1,32,24-May,23-May,14-Jun,NA,16-Jun,24,0,1,bare,litter,vine,center,0.5,2.54,0,1.52,4,0.75,4,1,U,0,NA,0,NA,NA,NA,4,4,
G2-1,30,34,34,1,1,2017,Guana,G2,133,BVI,1,1,1,34,15-Jun,23-May,16-Jun,19-Jun,29-Jun,14,1,0,cov,rock,none,center,0,0,30.48,0,2,0.25,2,1,NA,0,NA,NA,NA,NA,NA,0,0,
G2-2,30,35,35,1,1,2017,Guana,G2,133,BVI,1,1,1,35,15-Jun,24-May,17-Jun,20-Jun,30-Jun,15,1,0,bare,soil,bush ,center,0.25,0,0,0.125,2,0.25,2,1,NA,0,NA,NA,NA,NA,NA,0,0,
G3-1,30,38,38,1,1,2017,Guana,G3,133,BVI,1,1,1,38,15-Jun,27-May,20-Jun,23-Jun,30-Jun,15,1,0,cov,soil,bush ,periph,0.75,182.88,0,91.815,0.36,1,9,25,NA,0,NA,NA,NA,NA,NA,0,0,Note: cam G3: nests not in field of view until camera slips down 6/19; nest 4: did not hatch by time of cam removal 
G3-2,30,48,48,NA,1,2017,Guana,G3,133,BVI,NA,NA,NA,48,15-Jun,NA,NA,NA,5-Jul,20,NA,NA,cov,rock,bush ,periph,0.75,182.88,0,91.815,0.36,1,9,25,NA,NA,NA,NA,NA,NA,NA,0,0,
G3-3,30,58,58,1,1,2017,Guana,G3,133,BVI,1,1,1,58,15-Jun,6-Jun,30-Jun,3-Jul,5-Jul,20,1,0,cov,litter,bush ,periph,1,182.88,0,91.94,0.36,0.5,9,25,NA,0,NA,NA,NA,NA,NA,0,0,
G3-4,30,68,68,NA,1,2017,Guana,G3,133,BVI,NA,NA,NA,68,15-Jun,NA,30-Jun,NA,5-Jul,20,NA,NA,cov,litter,bush ,periph,0.75,182.88,0,91.815,0.36,1,9,25,NA,NA,NA,NA,NA,NA,NA,0,0,hadn't hatched by 7/5
G4-1,30,34,34,1,1,2017,Guana,G4,133,BVI,1,1,1,34,15-Jun,23-May,16-Jun,19-Jun,28-Jun,13,1,0,cov,litter,bush ,center,1,91.44,0,46.22,8,0.5,2,0.25,NA,0,NA,NA,NA,NA,NA,0,0,
G4-2,30,43,43,1,1,2017,Guana,G4,133,BVI,1,1,1,43,15-Jun,1-Jun,25-Jun,28-Jun,3-Jul,18,1,0,cov,litter,bush ,center,1,91.44,0,46.22,8,0.5,2,0.25,NA,0,NA,NA,NA,NA,NA,0,0,
L1-1,14,32,32,NA,1,2017,LeDuck,L1,495,USVI,NA,NA,NA,32,30-May,NA,15-Jun,NA,19-Jun,20,NA,NA,cov,veg,grass,center,1,60.96,7.62,30.98,0.5,0.25,18,36,NA,NA,NA,NA,NA,NA,NA,1,1,
L1-2,14,32,32,1,1,2017,LeDuck,L1,495,USVI,1,1,1,32,30-May,21-May,14-Jun,17-Jun,19-Jun,20,1,0,cov,litter,none,periph,0.5,15.24,30.48,7.87,0.5,0.5,18,36,NA,0,NA,NA,NA,NA,NA,1,1,"can't assess fate, still on nest 6/19"
L1-3,14,32,32,NA,1,2017,LeDuck,L1,495,USVI,NA,NA,NA,32,30-May,NA,NA,NA,19-Jun,20,NA,NA,cov,rock,NA,periph,0.75,60.96,7.62,30.855,0.5,0.25,18,36,NA,NA,NA,NA,NA,NA,NA,1,1,"can't assess fate, still on nest 6/19"
L1-4,14,28,28,1,1,2017,LeDuck,L1,495,USVI,1,1,1,28,30-May,17-May,10-Jun,13-Jun,19-Jun,20,1,0,cov,litter,rock,center,0.5,60.96,15.24,30.73,0.5,0.25,18,36,NA,0,NA,NA,NA,NA,NA,1,1,est. based on chick size
L1-5,14,28,28,1,1,2017,LeDuck,L1,495,USVI,1,1,1,28,30-May,21-May,14-Jun,17-Jun,19-Jun,20,1,0,cov,litter,grass,center,0.5,60.96,15.24,30.73,0.5,0.25,18,36,NA,0,NA,NA,NA,NA,NA,1,1,est. based on chick size
L1-6,14,28,28,1,1,2017,LeDuck,L1,495,USVI,1,1,1,28,30-May,21-May,14-Jun,17-Jun,19-Jun,20,1,0,cov,litter,vine,center,0.25,60.96,7.62,30.605,0.5,0.25,18,36,NA,0,NA,NA,NA,NA,NA,1,1,est. based on chick size
L6-1-17,14,23,23,1,1,2017,LeDuck,L6,495,USVI,1,1,1,23,30-May,14-May,5-Jun,8-Jun,15-Jun,16,1,0,cov,veg,grass,center,0.75,60.96,0,30.855,0.33,1,3,9,NA,0,NA,NA,NA,NA,NA,1,1,
L6-2-2,15,20,20,1,1,2017,LeDuck,L6,495,USVI,1,1,1,21,30-May,11-May,4-Jun,7-Jun,5-Jun,6,1,0,cov,litter,vine,center,0.5,121.92,7.62,61.21,0.33,0.5,3,9,U,0,NA,NA,NA,NA,NA,1,1,"Chick 2 sampled for blood at 10am; parents abandoned nest at 5pm. Possible that chick died following blood sampling, or parents may have moved "
L0-1,6,6,6,0,1,2018,LeDuck,L0,296,USVI,0,0,0,7,21-May,NA,NA,NA,22-May,1,NA,0,cov,rock,grass,periph,0.25,15.24,121.92,7.745,0.25,0,1,4,A,1,NA,NA,PM,0,1,1,1,"2 eggs abandoned 5am, not clear why"
L02-4,35,54,54,0,1,2018,LeDuck,L02,296,USVI,0,0,0,55,20-Jun,NA,NA,NA,9-Jul,19,NA,0,cov,veg,grass,center,0.75,15.24,0,7.995,0.44,1,4,9,A,1,NA,NA,NA,NA,NA,1,1,"parents leave nest 6/9, cause unknown. Hatch unknown "
L6-2,5,28,28,1,1,2018,LeDuck,L6,296,USVI,1,1,1,28,21-May,17-May,10-Jun,13-Jun,18-Jun,28,1,0,cov,veg,vine,center,0.25,10.16,12.7,5.205,0.67,0.25,6,9,NA,0,NA,NA,NA,NA,NA,1,1,"chick 1st seen 6/18, prob hatch 6/10"
L6-4,5,31,31,1,1,2018,LeDuck,L6,296,USVI,1,1,1,31,21-May,20-May,13-Jun,16-Jun,26-Jun,36,1,0,bare,rock,none,center,0.25,0,0,0.125,0.67,0.25,6,9,NA,0,NA,NA,NA,NA,NA,1,1,
LE,5,22,22,0,1,2018,LeDuck,LE,296,USVI,0,0,0,23,21-May,NA,NA,NA,7-Jun,17,NA,0,cov,litter,grass,center,1,30.48,116.84,15.74,0.25,0,1,4,A,1,NA,NA,NA,NA,NA,1,1,1 egg abandoned 6/7 at 5:45pm for no discernable reason
LK-1,5,15,15,0,1,2018,LeDuck,LK,296,USVI,0,0,0,16,21-May,NA,NA,NA,31-May,10,NA,0,bare,veg,vine,center,0.75,5.08,5.08,2.915,0.11,0,1,9,U,0,NA,NA,NA,NA,NA,1,1,"5/31, found 1 broken egg and one whole egg, not incubated over 5/31 so moved 6/1"
LK2-1,16,37,37,0,1,2018,LeDuck,LK2,296,USVI,0,0,0,38,1-Jun,NA,NA,NA,22-Jun,21,NA,0,bare,litter,vine,periph,0.25,5.08,91.44,2.665,0.5,0.75,2,4,NV,0,NA,NA,NA,NA,NA,1,1,"incubating 1 egg, abandons 6/22; hermit crabs scavenge "
